0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:20 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:20 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:30 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:37 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:48 +0530] "GET /Mini_Project_Uf/sofa_code_image.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:48 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=5 HTTP/1.1" 200 56166
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:48 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=6 HTTP/1.1" 200 56956
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:48 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=7 HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:18:57 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Alex%20Sectional%20Sofa HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:19:17 +0530] "POST /Mini_Project_Uf/sendemail.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:19:17 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:19:17 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:19:17 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:20:14 +0530] "POST /Mini_Project_Uf/admin HTTP/1.1" 200 16737
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:20:22 +0530] "GET /Mini_Project_Uf/vieworders.jsp HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:21:02 +0530] "GET /Mini_Project_Uf/Upload.jsp HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:21:59 +0530] "GET /Mini_Project_Uf/vieworders.jsp HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:24:32 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Generic%20Hudson%20Mark%20Dressing%20Table HTTP/1.1" 200 4412
